Index1,Corr_Value1,Index2,Corr_Value2
77,0.6969966629588431,77.0,0.5012235817575084
78,0.6364849833147942,78.0,0.5657397107897664
79,0.5884315906562848,79.0,0.8042269187986651
80,0.7432703003337041,80.0,0.6048943270300334
81,0.7303670745272525,81.0,0.5132369299221357
82,0.8166852057842046,82.0,0.6791991101223581
83,0.8055617352614016,83.0,0.7170189098998888
84,0.7530589543937708,84.0,0.6921023359288097
85,0.6137931034482759,85.0,0.8665183537263625
86,0.7882091212458288,86.0,0.5403781979977753
87,0.8082313681868742,87.0,0.5911012235817574
88,0.8046718576195773,88.0,0.5061179087875418
89,0.7276974416017797,89.0,0.7530589543937708
90,0.7236929922135705,90.0,0.7419354838709676
91,0.7913236929922135,91.0,0.7183537263626251
92,0.7431304974230225,92.0,0.6631813125695216
93,0.8060066740823137,93.0,0.7001112347052281
94,0.6987764182424916,94.0,0.6209121245828698
95,0.6048943270300334,95.0,0.6849833147942158
96,0.4558398220244716,96.0,0.4589543937708565
97,0.6907675194660734,97.0,0.8318131256952168
98,0.681868743047831,98.0,0.7076751946607341
99,0.8381355041294988,99.0,0.6974416017797552
100,0.5381535038932147,100.0,0.7245828698553948
101,0.5492769744160179,101.0,0.692992213570634
102,0.6992213570634038,102.0,0.7993325917686318
103,0.7228031145717464,103.0,0.5692992213570635
104,0.4709677419354839,104.0,0.7668520578420467
105,0.4758620689655172,105.0,0.8456062291434927
106,0.7579532814238041,106.0,0.6440489432703003
107,0.4442714126807564,107.0,0.5702525343997625
108,0.7695216907675194,108.0,0.72146829810901
109,0.8380422691879867,109.0,0.7535038932146829
110,0.7432703003337041,110.0,0.6809788654060066
111,0.4304783092324805,111.0,0.3997775305895439
112,0.646718576195773,112.0,0.739265850945495
113,0.625361512791991,113.0,0.7761957730812012
114,0.6787541713014461,114.0,0.7530589543937708
115,0.7535038932146829,115.0,0.681868743047831
116,0.6244716351501668,116.0,0.6885428253615128
117,0.5426028921023358,117.0,0.6453837597330366
118,0.7410456062291434,118.0,0.7432703003337041
119,0.7797552836484983,119.0,0.8267883019233389
120,0.8122358175750835,120.0,0.6040044493882092
121,0.7837597330367074,121.0,0.7299221357063403
122,0.7281423804226919,122.0,0.7926585094549499
123,0.7779755283648498,123.0,0.5982202447163515
124,0.6671857619577308,124.0,0.6329254727474972
