gene:AVESA.00001b.r3.1Ag0001963 gene:AVESA.00001b.r3.1Ag0001964
gene:AVESA.00001b.r3.1Ag0001972 gene:AVESA.00001b.r3.1Ag0001973
gene:AVESA.00001b.r3.1Ag0001983 gene:AVESA.00001b.r3.1Ag0001984
gene:AVESA.00001b.r3.1Ag0001996 gene:AVESA.00001b.r3.1Ag0001997
gene:AVESA.00001b.r3.1Ag0002019 gene:AVESA.00001b.r3.1Ag0002021
gene:AVESA.00001b.r3.1Ag0002021 gene:AVESA.00001b.r3.1Ag0002024
gene:AVESA.00001b.r3.1Ag0002038 gene:AVESA.00001b.r3.1Ag0002040
gene:AVESA.00001b.r3.1Ag0002046 gene:AVESA.00001b.r3.1Ag0002047
gene:AVESA.00001b.r3.1Ag0002046 gene:AVESA.00001b.r3.1Ag0002048
gene:AVESA.00001b.r3.1Ag0002047 gene:AVESA.00001b.r3.1Ag0002048
gene:AVESA.00001b.r3.1Ag0002047 gene:AVESA.00001b.r3.1Ag0002049
gene:AVESA.00001b.r3.1Ag0002048 gene:AVESA.00001b.r3.1Ag0002049
gene:AVESA.00001b.r3.1Ag0002060 gene:AVESA.00001b.r3.1Ag0002064
gene:AVESA.00001b.r3.1Ag0002071 gene:AVESA.00001b.r3.1Ag0002072
gene:AVESA.00001b.r3.1Ag0002071 gene:AVESA.00001b.r3.1Ag0002073
gene:AVESA.00001b.r3.1Ag0002072 gene:AVESA.00001b.r3.1Ag0002073
gene:AVESA.00001b.r3.1Ag0002077 gene:AVESA.00001b.r3.1Ag0002078
gene:AVESA.00001b.r3.1Ag0002088 gene:AVESA.00001b.r3.1Ag0002089
gene:AVESA.00001b.r3.1Ag0002088 gene:AVESA.00001b.r3.1Ag0002090
gene:AVESA.00001b.r3.1Ag0002089 gene:AVESA.00001b.r3.1Ag0002090
gene:AVESA.00001b.r3.1Ag0002089 gene:AVESA.00001b.r3.1Ag0002091
gene:AVESA.00001b.r3.1Ag0002090 gene:AVESA.00001b.r3.1Ag0002091
gene:AVESA.00001b.r3.1Ag0002093 gene:AVESA.00001b.r3.1Ag0002094
gene:AVESA.00001b.r3.1Ag0002123 gene:AVESA.00001b.r3.1Ag0002124
gene:AVESA.00001b.r3.1Ag0002159 gene:AVESA.00001b.r3.1Ag0002162
gene:AVESA.00001b.r3.1Ag0002178 gene:AVESA.00001b.r3.1Ag0002179
gene:AVESA.00001b.r3.1Ag0002178 gene:AVESA.00001b.r3.1Ag0002183
gene:AVESA.00001b.r3.1Ag0002179 gene:AVESA.00001b.r3.1Ag0002183
gene:AVESA.00001b.r3.1Ag0002182 gene:AVESA.00001b.r3.1Ag0002184
gene:AVESA.00001b.r3.1Ag0002185 gene:AVESA.00001b.r3.1Ag0002186
gene:AVESA.00001b.r3.1Ag0002185 gene:AVESA.00001b.r3.1Ag0002187
gene:AVESA.00001b.r3.1Ag0002186 gene:AVESA.00001b.r3.1Ag0002187
gene:AVESA.00001b.r3.1Ag0002186 gene:AVESA.00001b.r3.1Ag0002188
gene:AVESA.00001b.r3.1Ag0002187 gene:AVESA.00001b.r3.1Ag0002188
gene:AVESA.00001b.r3.1Ag0002212 gene:AVESA.00001b.r3.1Ag0002214
gene:AVESA.00001b.r3.1Ag0002214 gene:AVESA.00001b.r3.1Ag0002215
gene:AVESA.00001b.r3.1Ag0002216 gene:AVESA.00001b.r3.1Ag0002217
gene:AVESA.00001b.r3.1Ag0002216 gene:AVESA.00001b.r3.1Ag0002218
gene:AVESA.00001b.r3.1Ag0002217 gene:AVESA.00001b.r3.1Ag0002218
gene:AVESA.00001b.r3.1Ag0002217 gene:AVESA.00001b.r3.1Ag0002219
gene:AVESA.00001b.r3.1Ag0002218 gene:AVESA.00001b.r3.1Ag0002219
gene:AVESA.00001b.r3.1Ag0002218 gene:AVESA.00001b.r3.1Ag0002220
gene:AVESA.00001b.r3.1Ag0002219 gene:AVESA.00001b.r3.1Ag0002220
gene:AVESA.00001b.r3.1Ag0002219 gene:AVESA.00001b.r3.1Ag0002221
gene:AVESA.00001b.r3.1Ag0002220 gene:AVESA.00001b.r3.1Ag0002221
gene:AVESA.00001b.r3.1Ag0002227 gene:AVESA.00001b.r3.1Ag0002230
gene:AVESA.00001b.r3.1Ag0002236 gene:AVESA.00001b.r3.1Ag0002238
gene:AVESA.00001b.r3.1Ag0002239 gene:AVESA.00001b.r3.1Ag0002241
gene:AVESA.00001b.r3.1Ag0002256 gene:AVESA.00001b.r3.1Ag0002257
gene:AVESA.00001b.r3.1Ag0002275 gene:AVESA.00001b.r3.1Ag0002276
gene:AVESA.00001b.r3.1Ag0002275 gene:AVESA.00001b.r3.1Ag0002279
gene:AVESA.00001b.r3.1Ag0002276 gene:AVESA.00001b.r3.1Ag0002278
gene:AVESA.00001b.r3.1Ag0002278 gene:AVESA.00001b.r3.1Ag0002279
gene:AVESA.00001b.r3.1Ag0002326 gene:AVESA.00001b.r3.1Ag0002328
gene:AVESA.00001b.r3.1Ag0002328 gene:AVESA.00001b.r3.1Ag0002329
gene:AVESA.00001b.r3.1Ag0002328 gene:AVESA.00001b.r3.1Ag0002331
gene:AVESA.00001b.r3.1Ag0002329 gene:AVESA.00001b.r3.1Ag0002331
gene:AVESA.00001b.r3.1Ag0002337 gene:AVESA.00001b.r3.1Ag0002339
gene:AVESA.00001b.r3.1Ag0002339 gene:AVESA.00001b.r3.1Ag0002340
gene:AVESA.00001b.r3.1Ag0002339 gene:AVESA.00001b.r3.1Ag0002341
gene:AVESA.00001b.r3.1Ag0002340 gene:AVESA.00001b.r3.1Ag0002341
gene:AVESA.00001b.r3.1Ag0002340 gene:AVESA.00001b.r3.1Ag0002342
