gene:Sspon.01G0023420-1A gene:Sspon.01G0023420-1T
gene:Sspon.01G0023430-1A gene:Sspon.01G0023420-1T
gene:Sspon.01G0023760-1A gene:Sspon.01G0023760-1P
gene:Sspon.01G0023850-1P gene:Sspon.01G0023850-1A
gene:Sspon.01G0023850-1A gene:Sspon.01G0023890-1A
gene:Sspon.01G0023990-1A gene:Sspon.01G0023990-1P
gene:Sspon.01G0024020-1A gene:Sspon.01G0024020-1P
gene:Sspon.01G0024220-1A gene:Sspon.01G0024240-1A
gene:Sspon.01G0024420-1A gene:Sspon.01G0024420-1P
gene:Sspon.01G0024660-1A gene:Sspon.01G0024680-1A
gene:Sspon.01G0024790-1A gene:Sspon.01G0024800-1A
gene:Sspon.01G0024970-1P gene:Sspon.01G0024970-1A
gene:Sspon.01G0025140-1A gene:Sspon.01G0025150-1A
gene:Sspon.01G0025140-1A gene:Sspon.01G0025170-1A
gene:Sspon.01G0025150-1A gene:Sspon.01G0025140-1P
gene:Sspon.01G0025170-1A gene:Sspon.01G0025140-1P
gene:Sspon.01G0025180-1A gene:Sspon.01G0025180-1P
gene:Sspon.01G0025190-1A gene:Sspon.01G0025280-1A
gene:Sspon.01G0025200-1A gene:Sspon.01G0025280-1T
gene:Sspon.01G0025430-1A gene:Sspon.01G0025440-1A
gene:Sspon.01G0025520-1A gene:Sspon.01G0025510-1P
gene:Sspon.01G0025770-1T gene:Sspon.01G0025770-1A
gene:Sspon.01G0026420-1A gene:Sspon.01G0003310-2P
gene:Sspon.01G0026420-1A gene:Sspon.01G0026460-1A
gene:Sspon.01G0003310-2P gene:Sspon.01G0026460-1A
gene:Sspon.01G0026670-1P gene:Sspon.01G0026670-1A
gene:Sspon.01G0026990-1A gene:Sspon.01G0027020-1A
gene:Sspon.01G0027010-1A gene:Sspon.01G0027030-1A
gene:Sspon.01G0027530-1A gene:Sspon.01G0027530-1P
gene:Sspon.01G0027550-1A gene:Sspon.01G0027560-1A
gene:Sspon.01G0027610-1A gene:Sspon.01G0027660-1A
gene:Sspon.01G0027660-1A gene:Sspon.01G0027610-1P
gene:Sspon.01G0028050-1A gene:Sspon.01G0028050-1T
gene:Sspon.01G0028130-1A gene:Sspon.01G0028130-1P
gene:Sspon.01G0028180-1A gene:Sspon.01G0028190-1A
gene:Sspon.01G0028270-1P gene:Sspon.01G0028270-1A
gene:Sspon.01G0028310-1A gene:Sspon.01G0028310-1P
gene:Sspon.01G0028380-1A gene:Sspon.01G0028380-1T
gene:Sspon.01G0028800-1P gene:Sspon.01G0028810-1A
gene:Sspon.01G0028970-1A gene:Sspon.01G0028980-1A
gene:Sspon.01G0029010-1A gene:Sspon.01G0029030-1A
gene:Sspon.01G0029380-1P gene:Sspon.01G0029380-1A
gene:Sspon.01G0029630-1A gene:Sspon.01G0029630-2P
gene:Sspon.01G0029640-1A gene:Sspon.01G0029680-1A
gene:Sspon.01G0029630-2P gene:Sspon.01G0029630-1P
gene:Sspon.01G0029720-1A gene:Sspon.01G0029720-1P
gene:Sspon.01G0029580-2P gene:Sspon.01G0029580-1A
gene:Sspon.01G0029610-1P gene:Sspon.01G0029610-2P
gene:Sspon.01G0029870-1A gene:Sspon.01G0029870-1T
gene:Sspon.01G0029940-1A gene:Sspon.01G0030000-1A
gene:Sspon.01G0030120-1A gene:Sspon.01G0030120-1P
gene:Sspon.01G0029940-2P gene:Sspon.01G0030020-1P
gene:Sspon.01G0030300-1P gene:Sspon.01G0030300-1A
gene:Sspon.01G0030450-1A gene:Sspon.02G0022810-1P
gene:Sspon.01G0030450-1A gene:Sspon.02G0022810-2P
gene:Sspon.02G0022810-1P gene:Sspon.02G0022810-2P
gene:Sspon.01G0030520-1A gene:Sspon.01G0030520-1P
gene:Sspon.01G0030580-1A gene:Sspon.01G0030590-1A
gene:Sspon.01G0030690-1A gene:Sspon.01G0030700-1A
gene:Sspon.01G0031260-1A gene:Sspon.01G0031260-1T
gene:Sspon.01G0031330-1A gene:Sspon.01G0031330-3P
gene:Sspon.01G0031330-3P gene:Sspon.01G0031330-4P
gene:Sspon.01G0031430-1P gene:Sspon.01G0031430-1A
gene:Sspon.01G0031480-1A gene:Sspon.01G0031510-1A
gene:Sspon.01G0032200-1A gene:Sspon.01G0032200-1T
gene:Sspon.01G0032520-1A gene:Sspon.01G0032520-2P
gene:Sspon.01G0032570-1P gene:Sspon.01G0032570-1A
gene:Sspon.01G0032720-1P gene:Sspon.01G0032760-1A
gene:Sspon.01G0032770-1A gene:Sspon.01G0032770-1T
gene:Sspon.01G0002440-2P gene:Sspon.01G0002440-1P
gene:Sspon.01G0032880-1P gene:Sspon.01G0032880-2P
gene:Sspon.01G0032970-1A gene:Sspon.01G0032970-1P
gene:Sspon.01G0032990-1A gene:Sspon.01G0032990-1P
gene:Sspon.01G0033230-1A gene:Sspon.01G0033280-1A
gene:Sspon.01G0033240-1A gene:Sspon.01G0033240-1P
gene:Sspon.01G0033250-1A gene:Sspon.01G0033240-1P
gene:Sspon.01G0033370-1A gene:Sspon.01G0033420-1A
gene:Sspon.01G0033440-1A gene:Sspon.01G0033440-1P
gene:Sspon.01G0033460-1A gene:Sspon.01G0033490-1A
gene:Sspon.01G0033710-1A gene:Sspon.01G0033710-1P
gene:Sspon.01G0033770-1A gene:Sspon.01G0033770-1P
gene:Sspon.01G0033970-1A gene:Sspon.01G0033980-1A
gene:Sspon.01G0000570-2B gene:Sspon.01G0000600-2B
gene:Sspon.01G0000660-2B gene:Sspon.01G0000660-1T
gene:Sspon.01G0000820-1T gene:Sspon.01G0000820-2B
gene:Sspon.01G0034270-1B gene:Sspon.01G0034280-1B
gene:Sspon.01G0001090-2B gene:Sspon.01G0001090-1T
gene:Sspon.01G0001400-2B gene:Sspon.01G0001400-1T
gene:Sspon.01G0001540-2B gene:Sspon.01G0001540-1P
gene:Sspon.01G0001800-2B gene:Sspon.01G0001800-1T
gene:Sspon.01G0001880-1T gene:Sspon.01G0001880-2B
gene:Sspon.01G0001870-2B gene:Sspon.01G0034550-1B
gene:Sspon.01G0034680-1P gene:Sspon.01G0034680-1B
gene:Sspon.01G0034660-1B gene:Sspon.01G0034660-1P
gene:Sspon.01G0002150-2B gene:Sspon.01G0002150-1P
gene:Sspon.01G0002160-1P gene:Sspon.01G0002160-2B
gene:Sspon.01G0016660-1P gene:Sspon.01G0034880-1B
gene:Sspon.01G0016660-1P gene:Sspon.01G0002510-2B
gene:Sspon.01G0034880-1B gene:Sspon.01G0002510-2B
gene:Sspon.01G0034970-1B gene:Sspon.01G0035010-1B
gene:Sspon.01G0002980-2B gene:Sspon.01G0018700-1P
gene:Sspon.01G0003060-1P gene:Sspon.01G0003060-2P
gene:Sspon.01G0003130-2B gene:Sspon.01G0003120-2B
gene:Sspon.01G0035070-1B gene:Sspon.01G0035080-1B
gene:Sspon.01G0003630-2B gene:Sspon.01G0003630-1P
gene:Sspon.01G0003450-4P gene:Sspon.01G0003690-2B
gene:Sspon.01G0003450-4P gene:Sspon.01G0035090-1B
gene:Sspon.01G0003690-2B gene:Sspon.01G0035090-1B
gene:Sspon.01G0003690-2B gene:Sspon.01G0003460-2B
gene:Sspon.01G0035090-1B gene:Sspon.01G0003460-2B
gene:Sspon.01G0003680-2B gene:Sspon.01G0003700-2B
gene:Sspon.01G0003460-2B gene:Sspon.01G0003450-2B
gene:Sspon.01G0003480-2B gene:Sspon.01G0003480-1P
gene:Sspon.01G0003480-2B gene:Sspon.01G0035160-1B
gene:Sspon.01G0003480-1P gene:Sspon.01G0035160-1B
gene:Sspon.01G0035230-1B gene:Sspon.01G0035230-1P
gene:Sspon.01G0003870-2B gene:Sspon.01G0035250-1B
gene:Sspon.01G0004060-2B gene:Sspon.01G0004120-2B
gene:Sspon.01G0004400-2B gene:Sspon.01G0004480-2B
gene:Sspon.01G0005160-2B gene:Sspon.01G0005160-1T
gene:Sspon.01G0005230-2B gene:Sspon.01G0005240-2B
gene:Sspon.01G0005240-2B gene:Sspon.01G0005250-2B
gene:Sspon.01G0005730-1P gene:Sspon.01G0005730-2B
gene:Sspon.01G0005750-2B gene:Sspon.01G0005750-1P
gene:Sspon.01G0035750-1B gene:Sspon.01G0035750-1P
gene:Sspon.01G0005880-2B gene:Sspon.01G0005820-1P
gene:Sspon.01G0005890-2P gene:Sspon.01G0005890-2B
gene:Sspon.01G0005890-2B gene:Sspon.01G0005890-1P
gene:Sspon.01G0005910-1T gene:Sspon.01G0005910-2B
gene:Sspon.01G0005910-1T gene:Sspon.01G0005910-1P
gene:Sspon.01G0005910-2B gene:Sspon.01G0005910-1P
gene:Sspon.01G0005980-1P gene:Sspon.01G0005980-2B
gene:Sspon.01G0005980-1P gene:Sspon.01G0005980-1T
gene:Sspon.01G0005960-1T gene:Sspon.01G0005960-2B
gene:Sspon.01G0006020-2P gene:Sspon.01G0006020-2B
gene:Sspon.01G0035910-1P gene:Sspon.01G0006030-2B
gene:Sspon.01G0006040-1P gene:Sspon.01G0006040-2B
gene:Sspon.01G0035860-2P gene:Sspon.01G0035860-1P
gene:Sspon.01G0006150-2B gene:Sspon.01G0006160-2B
gene:Sspon.01G0006150-2B gene:Sspon.01G0006150-2P
gene:Sspon.01G0006160-2B gene:Sspon.01G0006150-2P
gene:Sspon.01G0006180-1P gene:Sspon.01G0006180-2B
gene:Sspon.01G0006180-2B gene:Sspon.01G0006170-2B
gene:Sspon.01G0006220-2P gene:Sspon.01G0006220-2B
gene:Sspon.01G0006260-2P gene:Sspon.01G0006260-2B
gene:Sspon.01G0006220-2B gene:Sspon.01G0006220-1P
gene:Sspon.01G0007700-2B gene:Sspon.01G0007340-2B
