Depth	Species	Cluster_length	Cluster_number
2	M. lutarioriparius	27	0
2	M. lutarioriparius	28	0
2	M. lutarioriparius	29	0
2	M. lutarioriparius	30	0
2	M. lutarioriparius	31	0
2	M. lutarioriparius	32	0
1	O. sativa	2	1293
1	O. sativa	3	355
1	O. sativa	4	152
1	O. sativa	5	86
1	O. sativa	6	50
1	O. sativa	7	29
1	O. sativa	8	24
1	O. sativa	9	14
1	O. sativa	10	9
1	O. sativa	11	5
1	O. sativa	12	3
1	O. sativa	13	5
1	O. sativa	14	0
1	O. sativa	15	0
1	O. sativa	16	2
1	O. sativa	17	0
1	O. sativa	18	1
1	O. sativa	19	2
1	O. sativa	20	1
1	O. sativa	21	1
1	O. sativa	22	0
1	O. sativa	23	1
1	O. sativa	24	0
1	O. sativa	25	0
1	O. sativa	26	1
1	O. sativa	27	0
1	O. sativa	28	0
1	O. sativa	29	0
1	O. sativa	30	0
1	O. sativa	31	0
1	O. sativa	32	0
1	P. hallii	2	1350
1	P. hallii	3	371
1	P. hallii	4	142
1	P. hallii	5	65
1	P. hallii	6	44
1	P. hallii	7	20
1	P. hallii	8	16
1	P. hallii	9	12
1	P. hallii	10	8
1	P. hallii	11	5
1	P. hallii	12	1
1	P. hallii	13	2
1	P. hallii	14	1
1	P. hallii	15	0
1	P. hallii	16	0
1	P. hallii	17	0
1	P. hallii	18	0
1	P. hallii	19	0
1	P. hallii	20	0
1	P. hallii	21	1
1	P. hallii	22	1
1	P. hallii	23	0
1	P. hallii	24	0
1	P. hallii	25	0
1	P. hallii	26	0
1	P. hallii	27	0
1	P. hallii	28	0
1	P. hallii	29	0
1	P. hallii	30	0
1	P. hallii	31	0
1	P. hallii	32	0
2	P. annua	2	2935
2	P. annua	3	732
2	P. annua	4	272
2	P. annua	5	126
2	P. annua	6	53
2	P. annua	7	25
2	P. annua	8	21
2	P. annua	9	9
2	P. annua	10	6
2	P. annua	11	6
2	P. annua	12	4
2	P. annua	13	3
2	P. annua	14	2
2	P. annua	15	1
2	P. annua	16	0
2	P. annua	17	0
2	P. annua	18	0
2	P. annua	19	0
2	P. annua	20	0
2	P. annua	21	0
2	P. annua	22	1
2	P. annua	23	1
2	P. annua	24	0
2	P. annua	25	0
2	P. annua	26	0
2	P. annua	27	0
2	P. annua	28	0
2	P. annua	29	0
2	P. annua	30	0
2	P. annua	31	0
2	P. annua	32	0
4	S. spontaneum	2	3414
4	S. spontaneum	3	573
4	S. spontaneum	4	218
4	S. spontaneum	5	71
4	S. spontaneum	6	39
4	S. spontaneum	7	15
4	S. spontaneum	8	11
4	S. spontaneum	9	9
4	S. spontaneum	10	5
4	S. spontaneum	11	3
4	S. spontaneum	12	0
4	S. spontaneum	13	1
4	S. spontaneum	14	0
4	S. spontaneum	15	0
4	S. spontaneum	16	0
4	S. spontaneum	17	0
4	S. spontaneum	18	0
4	S. spontaneum	19	0
4	S. spontaneum	20	0
4	S. spontaneum	21	0
4	S. spontaneum	22	0
4	S. spontaneum	23	0
4	S. spontaneum	24	0
4	S. spontaneum	25	0
4	S. spontaneum	26	0
4	S. spontaneum	27	0
4	S. spontaneum	28	0
4	S. spontaneum	29	0
4	S. spontaneum	30	0
4	S. spontaneum	31	0
4	S. spontaneum	32	0
1	S. cereale	2	1993
1	S. cereale	3	674
1	S. cereale	4	295
1	S. cereale	5	160
1	S. cereale	6	94
1	S. cereale	7	64
1	S. cereale	8	45
1	S. cereale	9	30
1	S. cereale	10	17
1	S. cereale	11	9
1	S. cereale	12	13
1	S. cereale	13	6
1	S. cereale	14	6
1	S. cereale	15	5
1	S. cereale	16	2
1	S. cereale	17	2
1	S. cereale	18	2
1	S. cereale	19	1
1	S. cereale	20	2
1	S. cereale	21	1
1	S. cereale	22	2
1	S. cereale	23	1
1	S. cereale	24	0
1	S. cereale	25	1
1	S. cereale	26	0
1	S. cereale	27	0
1	S. cereale	28	1
1	S. cereale	29	0
1	S. cereale	30	0
1	S. cereale	31	0
1	S. cereale	32	0
1	S. italica	2	1350
1	S. italica	3	460
1	S. italica	4	176
1	S. italica	5	91
1	S. italica	6	51
1	S. italica	7	38
1	S. italica	8	19
1	S. italica	9	8
1	S. italica	10	5
1	S. italica	11	8
1	S. italica	12	4
1	S. italica	13	3
1	S. italica	14	1
1	S. italica	15	3
1	S. italica	16	1
1	S. italica	17	4
1	S. italica	18	1
1	S. italica	19	2
1	S. italica	20	0
1	S. italica	21	1
1	S. italica	22	0
1	S. italica	23	0
1	S. italica	24	0
1	S. italica	25	0
1	S. italica	26	0
1	S. italica	27	0
1	S. italica	28	0
1	S. italica	29	0
1	S. italica	30	0
1	S. italica	31	0
1	S. italica	32	0
1	S. viridis	2	1536
1	S. viridis	3	477
1	S. viridis	4	197
1	S. viridis	5	97
1	S. viridis	6	51
1	S. viridis	7	35
1	S. viridis	8	20
1	S. viridis	9	22
1	S. viridis	10	9
1	S. viridis	11	6
1	S. viridis	12	6
1	S. viridis	13	5
1	S. viridis	14	3
1	S. viridis	15	0
1	S. viridis	16	4
1	S. viridis	17	0
1	S. viridis	18	4
1	S. viridis	19	1
1	S. viridis	20	1
1	S. viridis	21	0
1	S. viridis	22	0
1	S. viridis	23	0
1	S. viridis	24	0
1	S. viridis	25	0
1	S. viridis	26	0
1	S. viridis	27	0
1	S. viridis	28	0
1	S. viridis	29	0
1	S. viridis	30	0
1	S. viridis	31	0
1	S. viridis	32	0
1	S. bicolor	2	1383
1	S. bicolor	3	399
1	S. bicolor	4	205
1	S. bicolor	5	79
1	S. bicolor	6	55
1	S. bicolor	7	29
1	S. bicolor	8	22
1	S. bicolor	9	7
1	S. bicolor	10	9
1	S. bicolor	11	11
1	S. bicolor	12	5
1	S. bicolor	13	1
1	S. bicolor	14	2
1	S. bicolor	15	2
1	S. bicolor	16	2
1	S. bicolor	17	0
1	S. bicolor	18	0
1	S. bicolor	19	0
1	S. bicolor	20	1
1	S. bicolor	21	0
1	S. bicolor	22	0
1	S. bicolor	23	0
1	S. bicolor	24	2
1	S. bicolor	25	0
1	S. bicolor	26	0
1	S. bicolor	27	0
1	S. bicolor	28	0
1	S. bicolor	29	0
1	S. bicolor	30	0
1	S. bicolor	31	0
1	S. bicolor	32	0
1	T. elongatum	2	2281
1	T. elongatum	3	658
1	T. elongatum	4	325
1	T. elongatum	5	168
1	T. elongatum	6	85
1	T. elongatum	7	52
1	T. elongatum	8	34
1	T. elongatum	9	22
1	T. elongatum	10	17
1	T. elongatum	11	18
1	T. elongatum	12	12
1	T. elongatum	13	9
1	T. elongatum	14	2
1	T. elongatum	15	0
1	T. elongatum	16	3
1	T. elongatum	17	2
1	T. elongatum	18	1
1	T. elongatum	19	1
1	T. elongatum	20	1
1	T. elongatum	21	1
1	T. elongatum	22	2
1	T. elongatum	23	0
1	T. elongatum	24	0
1	T. elongatum	25	1
1	T. elongatum	26	0
1	T. elongatum	27	0
1	T. elongatum	28	0
1	T. elongatum	29	0
1	T. elongatum	30	0
1	T. elongatum	31	0
1	T. elongatum	32	0
1	T. monococcum	2	1943
1	T. monococcum	3	654
1	T. monococcum	4	276
1	T. monococcum	5	149
1	T. monococcum	6	100
1	T. monococcum	7	63
1	T. monococcum	8	35
1	T. monococcum	9	18
1	T. monococcum	10	11
1	T. monococcum	11	16
1	T. monococcum	12	8
1	T. monococcum	13	8
1	T. monococcum	14	2
1	T. monococcum	15	2
1	T. monococcum	16	5
1	T. monococcum	17	2
1	T. monococcum	18	1
1	T. monococcum	19	0
1	T. monococcum	20	0
1	T. monococcum	21	1
1	T. monococcum	22	0
1	T. monococcum	23	0
1	T. monococcum	24	1
1	T. monococcum	25	0
1	T. monococcum	26	0
1	T. monococcum	27	0
1	T. monococcum	28	0
1	T. monococcum	29	0
1	T. monococcum	30	0
1	T. monococcum	31	0
1	T. monococcum	32	0
2	Z. mays	2	1154
2	Z. mays	3	247
2	Z. mays	4	96
2	Z. mays	5	61
2	Z. mays	6	17
2	Z. mays	7	13
2	Z. mays	8	12
2	Z. mays	9	8
2	Z. mays	10	3
2	Z. mays	11	2
2	Z. mays	12	1
2	Z. mays	13	3
2	Z. mays	14	0
2	Z. mays	15	0
2	Z. mays	16	0
2	Z. mays	17	0
2	Z. mays	18	1
2	Z. mays	19	1
2	Z. mays	20	1
2	Z. mays	21	0
2	Z. mays	22	0
2	Z. mays	23	1
2	Z. mays	24	0
2	Z. mays	25	1
2	Z. mays	26	0
2	Z. mays	27	0
2	Z. mays	28	0
2	Z. mays	29	0
2	Z. mays	30	0
2	Z. mays	31	0
2	Z. mays	32	0
2	Z. latifolia	2	1131
2	Z. latifolia	3	267
2	Z. latifolia	4	91
2	Z. latifolia	5	45
2	Z. latifolia	6	29
2	Z. latifolia	7	9
2	Z. latifolia	8	8
2	Z. latifolia	9	6
2	Z. latifolia	10	3
2	Z. latifolia	11	4
2	Z. latifolia	12	2
2	Z. latifolia	13	2
2	Z. latifolia	14	1
2	Z. latifolia	15	0
2	Z. latifolia	16	0
2	Z. latifolia	17	1
2	Z. latifolia	18	0
2	Z. latifolia	19	0
2	Z. latifolia	20	1
2	Z. latifolia	21	0
2	Z. latifolia	22	0
2	Z. latifolia	23	0
2	Z. latifolia	24	0
2	Z. latifolia	25	0
2	Z. latifolia	26	0
2	Z. latifolia	27	0
2	Z. latifolia	28	0
2	Z. latifolia	29	0
2	Z. latifolia	30	0
2	Z. latifolia	31	0
2	Z. latifolia	32	0
